id|signer|raw_glosses|glosses|words
2020-01-16/000662-000869|Signer1|警察+屋+有權力的人 名字 強 到 中+西+區 開會 <X> 多 要 罰 <X> 關於 要 警察 工作 方法|警察 屋 有權力的人 名字 強 到 中 西 區域 開會 <X> 多 要 懲罰 <X> 關於 要 警察 工作 方法|鄧炳強出席中西區區議會會議 被多名議員質詢警隊的執法
2020-01-16/000978-001158|Signer1|林+月 宣佈 一+國家+兩制 穩定 將來 依然 年+二+零+四+七 之後 改變 不會 呼籲 年輕人 珍惜|林 月 說 一 國 兩 制 穩定 未來 依然 年 二 零 四 七 之後 變 不 呼籲 年輕人 珍惜|林鄭月娥指一國兩制行穩致遠 2017年後都不會改變 呼籲年輕人珍惜
2020-01-16/001372-001662|Signer1|中國 美國 協議 第一 經濟 階段 <GARBAGE> 中國 承諾 將來 年+二 購買 二+千 億 美國 錢 中國 美國 貨物 和 服務 美國 減 稅 低|內地 美國 協議 第 一 經濟 階段 內地 承諾 未來 年 二 購買 二 千 億 美國 錢 內地 美國 貨物 和 服務 美國 減 稅 低|中美簽署首階段貿易協議 中方承諾未來兩年 採購2000億美元美國產品和服務 美方則調低 部分加徵關稅的中國貨稅率
2020-01-16/001685-001955|Signer1|中國 代表 到 副+有權力的人 名字 劉 其實 二+國家+國家 幫助 世界 有 獲利 其實 美國 開始 完 接下來 傾談 事情|內地 代表 到 副 有權力的人 名字 劉 其實 二 國 國 幫 世界 有 獲利 其實 美國 開始 完 接下來 傾談 事情|代表中方簽署協議的副總理劉鶴 形容協議對兩國以至全世界都有利 美國指雙方已展開下一階段協議的談判
2020-01-16/002019-002168|Signer1|中國 美國 二+國家+國家 經濟 <GARBAGE> 爭執 繼續 <STOP> 有 減|內地 美國 二 國 國 經濟 爭執 繼續 <STOP> 有 減|中美兩大經濟體纏擾多時的貿易糾紛 終於有所緩和
2020-01-16/002183-002360|Signer1|美國 政府+有權力的人 特朗普 有 副+有權力的人 名字 劉 上 星期三 白+屋 協議 第一+期 階段 經濟 關於|美國 政府 有權力的人 特朗普 有 副 有權力的人 名字 劉 上 星期 三 白 屋 協議 第 一 期 階段 經濟 關於|美國總統特朗普和副總理劉鶴 周三在白宮簽定首階段貿易協議
2020-01-16/002370-002682|Signer1|劉 轉 告訴 政府+有權力的人 政府+有權力的人 名字 習 關於 <GARBAGE> 國家 二+國家+國家 獲利 獲利 關於 中國 美國 新 年+一|劉 轉 告訴 政府 有權力的人 政府 有權力的人 名字 習 關於 國 二 國 國 獲利 獲利 關於 內地 美國 新 年 一|劉鶴轉達國家主席習近平給特朗普的口信 表示協議有利於兩國及全世界 相信在我們共同引領下 中美關係在新的一年
2020-01-16/002699-002808|Signer1|二+國家+國家 人民 加 多 <GARBAGE> 獲利|二 國 國 人民 加 多 獲利|能夠給兩國人民帶來更多利益和實惠
2020-01-16/004236-004362|Signer1|另外 二+千 五+百 億 美國+錢 中國 貨 稅 依然 二+五 百分比|另 二 千 五 百 億 美國 錢 內地 貨 稅 依然 二 五 百分比|其餘2500億美元中國貨品的税率 維持在百分之25
2020-01-16/006445-006793|Signer1|説 協議 <GARBAGE> 內容 其實 關於 員工 公司 沒有 對 中國 利用 經濟 員工 壞心腸 害怕 習 主+有權力的人 他 後面 笑|説 協議 內容 其實 關於 員工 公司 沒 對 內地 利用 經濟 員工 壞心腸 害怕 習 主 有權力的人 他 後面 笑|沒實質內容提及工人和企業 面對中國濫用貿易 和工業的殘酷和無情 恐怕習近平主席 正在我們背後大笑
2020-01-16/006806-007077|Signer1|美國 專家 懷疑 協議 可能 看到 中國 滿足 給 配合 美國 要求 不能 承諾 改變 估 第二 過程 傾談 會 難|美國 專家 懷疑 協議 可能 看到 內地 滿足 給 配合 美國 要求 不能 承諾 變 估 第 二 過程 傾談 會 困難|有美國專家亦質疑 協議某程度上反映 中方不會滿足美國要求 承諾推行重大結構性改革 預計第二階段協議談判將更艱巨
2020-01-16/007761-007993|Signer1|人 新聞 宣佈 多 專家 專家 感覺 看 平等 互動 雙贏 有 獲利 獲利 雙贏 規則 重要|人 新聞 說 多 專家 專家 感覺 看 平等 互動 雙贏 有 獲利 獲利 雙贏 規則 重要|人民日報引述多名專家形容 協議實現平等互利雙贏 體現了合作共赢的原則
2020-01-16/011852-012203|Signer1|林+月 到 主+人 示威 有 答問+會 多 團體 團體 留意 香港 一+國家+兩制 情況 年輕人 擔心 年+二+零+四+七 之後 香港 依然 有 一+國家+兩制 是不是|林 月 到 主 人 示威 有 答問 會 多 團體 團體 留意 香港 一 國 兩 制 情況 年輕人 擔心 年 二 零 四 七 之後 香港 依然 有 一 國 兩 制 是不是|林鄭月娥到場時遇上民主派示威 答問會上 三跨黨派也關注香港實行一國兩制情況 年輕人擔心2047年後 香港仍否有一國兩制
